,GoodForKids,HasTV,monday,jukebox,Music,HappyHour,wednesday,RestaurantsTableService,RestaurantsCounterService,vegetarian,GoodForMeal,ByAppointmentOnly,sunday,RestaurantsPriceRange2,casual,latenight,RestaurantsReservations,BusinessAcceptsCreditCards,friday,video,DogsAllowed,Ambience,gluten-free,Alcohol,soy-free,hipster,dinner,tuesday,CoatCheck,lot,lunch,vegan,trendy,upscale,BYOBCorkage,dairy-free,classy,GoodForDancing,RestaurantsDelivery,AgesAllowed,Open24Hours,thursday,dj,background_music,karaoke,BYOB,no_music,BusinessAcceptsBitcoin,romantic,BusinessParking,WheelchairAccessible,Caters,live,BestNights,dessert,street,OutdoorSeating,Corkage,garage,breakfast,AcceptsInsurance,NoiseLevel,valet,Smoking,RestaurantsGoodForGroups,WiFi,intimate,RestaurantsAttire,DriveThru,brunch,divey,touristy,kosher,validated,RestaurantsTakeOut,saturday,halal,BikeParking,business_id,stars
0,True,False,,,,,,,,,,,,1,False,,False,True,,,,,,u'none',,False,,,,False,,,False,False,,,False,,False,,,,,,,,,,False,,,,,,,False,False,,False,,,,False,,True,u'no',False,u'casual',,,False,False,,False,True,,,,50474,2.8947368421
1,True,True,,,,False,,,,,,,,1,True,False,False,True,,,,,,u'beer_and_wine',,False,True,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,False,,'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,143668,4.3015873016
2,True,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,False,,,,,,,,,False,,,,,,,,,,,,,,,,,False,False,,False,,,,False,,True,,,u'casual',,,,,,False,True,,,,105372,1.6
3,True,False,,,,,,True,,,,,,1,True,False,False,,,,,,,'none',,False,True,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,False,,u'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,19533,4.1132075472
4,True,False,,,,,,,,,,,,1,True,,False,True,,,,,,u'none',,False,,,,True,,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,,False,False,,False,,,u'average',False,,True,'no',False,u'casual',,,False,False,,False,True,,,True,85149,2.2424242424
5,True,False,,,,,,True,,,,,,2,True,False,True,True,,,,,,'beer_and_wine',,False,True,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,,True,,,False,False,False,,False,False,,u'average',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,True,20037,3.4
6,True,False,,,,,,True,,,,,,2,True,False,True,True,,,False,,,u'beer_and_wine',,False,False,,,True,True,,True,False,,,False,,False,,,,,,,,,False,False,,True,True,,,False,False,False,,False,True,,'quiet',False,,True,'no',False,'casual',False,True,False,False,,False,True,,,False,145384,4.4269005848
7,True,,,,,,,,,,,,,1,,,False,True,,,,,,u'none',,,,,,False,,,,,,,,,False,,,,,,,,,,,,,,,,,False,,,False,,,,False,,,,,,,,,,,False,True,,,,59655,3.0
8,True,,,,,,,,,,,,,2,False,,True,,,,,,,,,False,,,,False,,,False,False,,,False,,,,,,,,,,,,False,,,False,,,,False,False,,False,,,,False,,True,,False,u'casual',,,,False,,False,True,,,,55440,4.0
9,True,,,,,,,,,,,,,2,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,True,,,,186171,3.0
10,True,True,,,,,,,,,,,,1,False,,False,True,,,,,,u'none',,False,,,,True,,,False,False,,,False,,True,,,,,,,,,,False,,,True,,,,False,False,,False,,,'average',False,,False,u'no',False,u'casual',,,True,False,,False,True,,,True,111668,3.0051282051
11,False,,,,,,,,,,,,,1,,False,False,True,,,,,,,,,False,,,False,False,,,,,,,,False,,,,,,,,,,,,,,,,False,False,,,False,False,,,False,,False,'free',,'casual',,False,,,,False,True,,,,120464,2.2857142857
12,True,False,,,,,,,,,,False,,1,True,False,False,True,,,,,,u'none',,False,False,,,True,True,,False,False,,,False,,True,,,,,,,,,False,False,,,True,,,False,False,False,,False,False,,'average',False,,True,'no',False,u'casual',,False,False,False,,False,True,,,False,59949,4.0128205128
13,True,,,,,,,,,,,,,1,,,False,True,,,,,,,,,,,,False,,,,,,,,,True,,,,,,,,,,,,,,,,,False,False,,False,,,u'quiet',False,,True,'no',,'casual',,,,,,False,True,,,False,101172,3.0769230769
14,True,True,,,,,,,,,,,,2,True,False,True,True,,,,,,u'beer_and_wine',,False,True,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,,True,,,False,False,False,,False,False,,u'quiet',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,13760,4.3269230769
15,True,True,,,,,,,,,,,,2,False,False,False,,,,,,,u'none',,False,False,,,False,False,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,False,,u'quiet',False,,True,u'free',False,u'casual',,False,False,False,,False,True,,,True,44971,3.2857142857
16,True,True,,,,,,,,,,,,1,False,,False,True,,,,,,u'none',,False,,,,False,,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,,False,False,,False,,,u'quiet',False,,True,u'no',False,u'casual',,,True,False,,False,True,,,,115371,3.0
17,True,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,u'casual',,,,,,,True,,,,14691,4.5
18,True,True,,,,,,True,,,,,,2,True,False,True,,,,,,,'full_bar',,False,False,,,True,False,,False,False,,,False,,False,,,,,,,,,,False,,True,True,,,False,True,True,,False,False,,'average',False,,True,u'free',False,'casual',,False,False,False,,False,True,,,True,165961,2.625
19,True,False,,,,,,False,,,,,,2,True,False,False,True,,,,,,u'none',,False,False,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,False,,u'average',False,,True,'no',False,'casual',False,False,False,False,,False,True,,,True,87016,3.3043478261
20,True,False,,,,,,,,,,,,1,False,,False,True,,,,,,u'none',,False,,,,False,,,False,False,,,False,,True,,,,,,,,,,False,,,False,,,,False,False,,False,,,,False,,False,,False,u'casual',,,False,False,,False,True,,,True,49334,1.9285714286000002
21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,138910,2.625
22,True,True,,,,,,False,,,,,,1,True,False,False,True,,,,,,'none',,False,False,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,,True,,,False,False,False,,False,False,,u'average',False,,True,,False,'casual',False,False,False,False,,False,True,,,True,87154,4.0
23,True,True,,,,,,True,,,,,,2,True,False,False,True,,,False,,,u'none',,True,True,,,True,True,,True,False,,,False,,False,,,,,,,,,False,False,,True,True,,,False,False,False,,False,False,,u'average',False,,True,u'free',False,'casual',,False,False,False,,False,True,,,False,102449,4.4630872483
24,True,True,,,,,,True,,,,,,2,True,False,False,True,,,,,,u'full_bar',,False,True,,,True,True,,False,False,,,False,,False,,,,,,,,,False,False,,True,True,,,False,False,False,,False,False,,'average',False,,True,u'free',False,'casual',,False,False,False,,False,True,,,True,92895,4.0677200903
25,True,False,,,,,,,,,,,,2,True,False,False,True,,,,,,u'full_bar',,False,True,,,True,False,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,False,,False,False,,u'average',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,False,72511,2.24
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53291,2.0
27,True,False,,,,,,,,,,,,2,,False,False,True,,,,,,,,,False,,,,False,,,,,,,,True,,,,,,,,,,,,,,,,False,,True,,,False,,,,,False,'no',,'casual',,False,,,,,True,,,,18143,2.9090909091
28,True,False,,,,,,True,,,,,,1,True,False,False,False,,,,,,u'none',,False,False,,,True,True,,False,False,,,False,,False,,,,,,,,,,False,,,True,,,False,False,False,,False,True,,u'loud',False,,True,u'no',False,u'casual',False,False,,False,,False,True,,,True,157896,3.3548387097
29,True,False,,,,,,,,,,,,1,False,False,False,True,,,,,,u'none',,False,False,,,True,False,,False,False,,,False,,False,,,,,,,,,,False,,,,,,False,False,False,,False,False,,u'average',False,,True,'free',False,'casual',True,False,False,False,,False,True,,,True,96427,1.8
30,True,False,,,,,,True,,,,,,1,False,False,True,,,,,,,u'full_bar',,False,False,,,False,False,,False,False,,,False,,True,,,,,,,,,,False,,,True,,,False,False,False,,False,False,,u'quiet',False,,True,u'no',False,u'casual',,False,,False,,False,True,,,True,63916,4.2083333333
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111379,2.0
32,True,,,,,,,,,,,,,,,,False,True,,,,,,u'none',,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,u'casual',,,,,,,True,,,,161128,3.0
33,True,True,,,,False,,True,,,,,,2,False,False,False,True,,,False,,,u'full_bar',,False,False,,,True,False,,False,False,,,True,,False,,,,,,,,,False,False,,True,False,,,False,False,True,,False,False,,u'quiet',False,,True,u'no',False,'casual',,False,False,False,,False,True,,,False,88804,4.0714285714
34,True,True,,,,,,,,,,,,1,False,,False,True,,,,,,u'none',,False,,,,True,,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,,False,False,,False,,,u'average',False,,True,u'no',False,u'casual',,,False,False,,False,True,,,True,175422,3.6666666667000003
35,True,False,,,,,,,,,,,,3,False,,True,True,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,False,,,,,,,,,,False,,,,,,,False,True,,False,,,u'quiet',False,,True,,False,u'dressy',,,False,False,,False,True,,,False,166729,3.2857142857
36,True,True,,,,,,,,,,,,1,True,False,True,True,,,,,,'none',,False,True,,,False,True,,False,False,,,False,,False,,,,,,,,,,False,,,False,,,False,False,True,,False,False,,,False,,True,'free',False,'casual',,True,False,False,,False,True,,,True,173654,4.41
