,GoodForKids,HasTV,perms,monday,jukebox,extensions,Music,HappyHour,wednesday,kids,RestaurantsTableService,RestaurantsCounterService,vegetarian,GoodForMeal,ByAppointmentOnly,sunday,RestaurantsPriceRange2,casual,latenight,RestaurantsReservations,BusinessAcceptsCreditCards,friday,video,DogsAllowed,Ambience,gluten-free,Alcohol,soy-free,hipster,dinner,tuesday,CoatCheck,lot,lunch,vegan,trendy,upscale,BYOBCorkage,dairy-free,classy,GoodForDancing,curly,RestaurantsDelivery,AgesAllowed,Open24Hours,thursday,dj,background_music,karaoke,BYOB,no_music,BusinessAcceptsBitcoin,romantic,BusinessParking,WheelchairAccessible,Caters,live,BestNights,coloring,dessert,street,OutdoorSeating,Corkage,garage,breakfast,AcceptsInsurance,NoiseLevel,valet,Smoking,RestaurantsGoodForGroups,WiFi,intimate,RestaurantsAttire,DriveThru,brunch,divey,touristy,kosher,validated,RestaurantsTakeOut,saturday,halal,BikeParking,business_id,stars
0,True,True,,,,,,False,,,,,,,,,1,True,False,False,True,,,,,,u'beer_and_wine',,False,True,,,True,True,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,False,False,,False,False,,'average',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,True,143668,4.3015873016
1,False,False,,,,,,,,,,,,,,,2,True,,True,,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,True,,,,,True,False,,False,,,u'average',False,,True,u'free',False,u'casual',,,False,False,,False,False,,,True,109616,3.3793103448
2,False,False,,False,False,,,False,False,,True,,,,,True,3,False,False,True,,False,False,False,,,u'full_bar',,False,False,False,False,False,False,,False,False,,,False,,,False,,,False,False,False,False,,False,,False,,True,False,False,,,False,True,True,,False,False,,,False,u'no',True,u'free',False,'dressy',,False,,False,,False,True,False,,True,167387,3.8888888889
3,False,False,,False,False,,,True,True,,False,,,,,False,2,True,False,False,True,True,False,,,,u'full_bar',,True,True,False,False,False,False,,False,False,,,False,False,,False,,,True,False,True,False,,,False,False,,True,True,False,,,False,True,False,,False,False,,u'average',False,u'no',True,u'free',False,u'casual',,False,False,False,,False,True,False,,True,184313,4.506122449
4,True,True,,,False,,,True,,,True,,,,,,2,False,False,True,,,False,,,,u'full_bar',,False,False,,False,,False,,False,False,,,False,False,,False,,,,False,False,False,,,,False,,,,False,,,False,,False,,,False,,u'average',,u'no',True,'free',False,u'casual',,False,False,False,,,True,,,True,106017,3.5555555556
5,True,True,,,,,,,,,True,,,,,,2,True,False,True,,,,,,,u'full_bar',,False,True,,,False,True,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,False,True,False,,False,False,,u'very_loud',False,,True,u'no',False,u'casual',,False,False,False,,False,True,,,False,119092,4.2272727273
6,True,True,,,False,,,True,,,True,,,,,,1,False,False,False,True,,False,,,,u'full_bar',,False,False,,False,True,False,,False,False,,,False,False,,False,,,,False,False,False,,False,,False,,,False,False,,,False,False,True,,False,False,,'average',False,,True,u'free',False,'casual',,False,False,False,,False,False,,,False,170311,3.875
7,False,True,,,,,,,,,,,,,,,2,False,,True,True,,,,,,u'full_bar',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,,True,True,,False,,,u'average',False,,True,u'free',True,u'casual',,,False,False,,False,True,,,True,72343,3.8237082067
8,True,False,,,,,,,,,True,,,,,,2,True,False,True,True,,,False,,,u'beer_and_wine',,False,False,,,True,True,,True,False,,,False,,,False,,,,,,,,,False,False,,True,True,,,,False,False,False,,False,True,,'quiet',False,,True,'no',False,'casual',False,True,False,False,,False,True,,,False,145384,4.4269005848
9,False,True,,,,,,,,,,,,,,,3,False,False,True,True,,,,,,'full_bar',,False,True,,,True,False,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,False,False,,False,False,,u'average',False,,True,u'no',False,u'casual',,False,False,False,,False,False,,,False,11086,3.5745856354
10,,,,,,,,,,,,,,,,,2,,,,True,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,,,False,,,,,,,,,,,False,,,,,79854,4.6666666667
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87650,4.6666666667
12,True,,,,,,,,,,,,,,,,2,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,54668,4.0
13,False,True,,False,,,,True,False,,True,,,,,True,2,True,False,True,,False,,,,,'full_bar',,False,False,False,False,True,False,,False,False,,,False,False,,False,,,False,,,,,,,False,,,False,,,,False,False,True,,False,False,,u'loud',False,,True,'free',False,'casual',,True,False,False,,False,True,True,,True,59308,2.64
14,True,True,,,,,,,,,True,,,,,,2,True,False,True,,,,,,,u'full_bar',,False,True,,,False,False,,True,False,,,False,,,True,,,,,,,,,,False,,True,False,,,,False,True,True,,False,False,,u'average',False,,True,'free',False,u'casual',,False,,False,,False,True,,,True,137790,3.5743589744
15,True,False,,,,,,,,,,,,,,,2,False,,True,True,,,,,,u'beer_and_wine',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,True,,,,,True,True,,False,,,u'quiet',False,,True,u'no',False,u'casual',,,False,False,,False,True,,,,129363,2.8333333333
16,False,,,,False,,,True,,,True,,,,,,2,False,False,True,True,,False,,,,u'full_bar',,False,False,,,False,False,,False,False,,,False,True,,,,,,True,False,True,,False,,False,,,True,False,,,False,False,True,,False,False,,u'average',False,u'outdoor',True,,False,u'casual',,False,False,False,,False,True,,,True,46144,2.5714285714000003
17,True,True,,,,,,,,,True,,,,,,2,False,False,False,,,,,,,,,False,False,,,False,False,,False,False,,,False,,,False,,,,,,,,,,False,,,False,,,,False,False,True,,False,False,,u'average',False,,True,'free',False,'casual',,False,False,False,,False,True,,,False,64215,3.8333333333
18,True,True,,,,,,,,,True,,,,,,2,False,False,True,,,,,,,u'beer_and_wine',,False,False,,,,False,,False,False,,,False,,,True,,,,,,,,,,False,,,,,,,False,,False,,,False,,u'average',,,True,u'free',False,'casual',False,False,,False,,,True,,,False,89524,4.2
19,False,True,,,,,,,,,,,,,,,2,False,,True,True,,,,,,'full_bar',,False,,,,False,,,False,False,,,False,,,False,,,,,,,,,,False,,,,,,,,False,True,,False,,,'average',False,,True,,False,'casual',,,False,False,,False,True,,,False,16041,3.7
