,GoodForKids,video,dessert,street,HasTV,OutdoorSeating,monday,GoodForDancing,jukebox,Corkage,DogsAllowed,garage,Music,breakfast,RestaurantsDelivery,AcceptsInsurance,NoiseLevel,HappyHour,valet,Ambience,Smoking,RestaurantsGoodForGroups,gluten-free,AgesAllowed,thursday,Alcohol,WiFi,dj,background_music,wednesday,intimate,karaoke,soy-free,hipster,RestaurantsAttire,BYOB,RestaurantsTableService,dinner,BikeParking,no_music,DriveThru,BusinessAcceptsBitcoin,tuesday,CoatCheck,lot,brunch,live,vegetarian,GoodForMeal,ByAppointmentOnly,romantic,divey,touristy,lunch,RestaurantsPriceRange2,sunday,vegan,casual,kosher,trendy,validated,latenight,BusinessParking,upscale,BYOBCorkage,WheelchairAccessible,RestaurantsTakeOut,RestaurantsReservations,saturday,dairy-free,DietaryRestrictions,BusinessAcceptsCreditCards,halal,friday,Caters,classy,business_id,stars
0,True,,False,False,True,False,,,,,,False,,False,False,,u'average',,False,,,True,,,,u'beer_and_wine',u'no',,,,False,,,False,'casual',,True,True,True,,,,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,,True,True,,,,True,,,False,False,23732,4.0730337079
1,True,,False,True,True,False,,,,,,False,,False,False,,'average',,False,,,False,,,,'none','no',,,,False,,,False,'casual',,True,False,True,,,,,,False,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,True,True,False,,,,True,,,True,False,55349,4.2385321101
2,True,False,False,,True,False,,False,False,,,,,False,False,,u'average',True,,,u'no',True,,,,u'full_bar','free',False,False,,False,False,,False,u'casual',,True,False,True,,,,,False,,False,False,,,,False,False,False,False,2,,,False,,False,,False,,False,,,True,True,,,,,,,,False,106017,3.5555555556
3,True,,False,True,True,False,,,,,,False,,False,False,,u'very_loud',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,u'casual',,True,True,False,,,,,,False,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,,True,True,,,,,,,,False,119092,4.2272727273
4,True,,False,False,True,True,,,,,,False,,False,True,,u'average',,False,,,True,,,,u'none',u'free',,,,False,,,False,'casual',,True,False,True,,,,,,False,False,,,,,False,,False,False,2,,,False,,False,False,False,,False,,,True,True,,,,,,,True,False,159174,1.976744186
5,True,,,False,False,False,,,,,,False,,,True,,'quiet',,False,,,True,,,,'beer_and_wine',u'no',,,,False,,,False,'casual',,,,True,,,,,,False,,,,,,False,False,False,,2,,,False,,False,False,,,False,,,True,True,,,,,,,,False,90436,4.3076923077
6,True,,,True,False,False,,,,,,False,,,False,,u'average',,False,,,True,,,,u'none',u'no',,,,False,,,False,u'casual',,,,True,,,,,,False,,,,,,False,False,False,,2,,,True,,False,False,,,False,,,True,False,,,,False,,,False,False,113186,4.3666666667000005
7,,,,False,,False,,,,,,False,,,True,,,,False,,,,,,,u'none',,,,,,,,,u'casual',,,,,,,,,,False,,,,,,,,,,1,,,,,,False,,,,,,True,False,,,,,,,,,18934,3.2
8,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,True,True,,,,True,,,,,186171,3.0
9,,,False,False,True,False,,,,,,False,,False,True,,'average',,False,,,,,,,'none','no',,,,False,,,False,,,True,False,False,,,,,,False,False,,,,,False,,False,False,2,,,False,,False,False,False,,False,,,True,True,,,,,,,,False,93658,4.0
10,False,,,,,True,,,,,,,,,False,,u'quiet',,,,,True,,,,u'full_bar',u'no',,,,,,,,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,38218,3.2
11,True,,False,False,False,False,,,,,,False,,False,True,,'average',,False,,,True,,,,u'none','no',,,,False,,,False,u'casual',,,False,False,,,False,,,True,False,,,,False,False,False,False,True,1,,,True,,False,False,False,,False,,,True,False,,,,True,,,True,False,59949,4.0128205128
12,True,,,False,,False,,,,,,False,,,,,,,False,,,True,,,,,,,,,,,,,u'casual',,,,,,,,,,False,,,,,,,,,,1,,,,,,False,,,,,,True,False,,,,True,,,,,60840,2.8333333333
13,True,,False,True,True,True,,,,,,False,,False,True,,'average',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,u'casual',,,True,True,,,,,,True,False,,,,,False,False,False,False,2,,,True,,False,False,False,,False,,,True,True,,,,,,,True,False,68431,2.9428571429
14,True,,False,False,True,False,,,,,,False,,False,False,,u'quiet',,False,,,True,,,,u'beer_and_wine',u'no',,,,False,,,False,u'casual',,,True,True,,,,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,,True,True,,,,True,,,True,False,13760,4.3269230769
15,False,,False,False,True,True,False,False,,,,False,,False,False,,u'loud',True,False,,,True,,,False,'full_bar','free',,,False,False,,,False,'casual',,True,False,True,,,,False,False,True,True,,,,,False,False,False,False,2,True,,True,,False,False,False,,False,,,True,True,True,,,,,False,False,False,59308,2.64
16,True,,False,True,True,True,,,,,,False,,False,True,,u'average',,False,,,True,,,,u'full_bar','free',,,,False,,,False,u'casual',,True,True,True,,,,,,False,False,,,,,False,,False,False,2,,,True,,True,False,False,,False,,True,True,True,,,,,,,False,False,137790,3.5743589744
17,True,,,True,False,False,,,,,,False,,,False,,u'average',,False,,,True,,,,u'full_bar',u'free',,,,False,,,False,u'casual',,,,,,,,,,True,,,,,,False,,False,,3,,,False,,False,False,,,False,,,True,True,,,,,,,,False,122468,4.25
18,True,,False,False,True,True,,,,,,False,,False,False,,u'average',,False,,,True,,,,,'free',,,,False,,,False,'casual',,True,False,False,,,,,,False,False,,,,,False,False,False,False,2,,,False,,False,False,False,,False,,,True,False,,,,,,,False,False,64215,3.8333333333
19,True,,False,,True,False,,,,,,,,False,True,,u'average',,,,,True,,,,u'beer_and_wine',u'free',,,,False,,,False,'casual',,True,False,False,,False,,,,,False,,,,,False,,False,False,2,,,False,,False,,False,,False,,,True,True,,,,,,,,False,89524,4.2
20,True,,False,False,True,False,,,,,False,False,,False,False,,u'average',,False,,,True,,,,u'none',u'free',,,,False,,,True,'casual',,True,True,False,,,False,,,True,False,,,,,False,False,False,True,2,,,True,,True,False,False,,False,,True,True,False,,,,True,,,True,False,102449,4.4630872483
21,True,,False,False,True,False,,,,,,False,,False,False,,'average',,False,,,True,,,,u'full_bar',u'free',,,,False,,,False,'casual',,True,True,True,,,False,,,True,False,,,,,False,False,False,True,2,,,True,,False,False,False,,False,,True,True,False,,,,True,,,True,False,92895,4.0677200903
22,True,,False,False,False,False,,,,,,False,,False,False,,u'average',,False,,,True,,,,u'full_bar',u'no',,,,False,,,False,'casual',,,True,False,,,,,,True,False,,,,,False,False,False,False,2,,,True,,False,False,False,,False,,,True,False,,,,True,,,False,False,72511,2.24
23,True,,,False,False,False,,,,,,False,,,True,,u'quiet',,False,,,True,,,,u'beer_and_wine',u'no',,,,,,,,u'casual',,,,,,,,,,True,,,,,,,,,,2,,,,,,False,,,,,,True,True,,,,,,,True,,106451,2.4444444444
24,True,,,True,False,True,,,,,,False,,,False,,u'very_loud',,False,,,True,,,,u'full_bar',u'free',,,,False,,,False,u'casual',,,,True,,,,,,True,,,,,,False,,False,,3,,,False,,False,False,,,False,,,True,True,,,,,,,False,False,7904,3.3666666667
25,,,,,True,False,,,,,False,,,,True,,,,,,,,,,,u'none',u'no',,,,,,,,,,False,,True,,,,,,,,,,,,,,,,2,,,,,,,,,,,True,True,False,,,,,,,True,,72315,3.2857142857
26,,,False,False,False,False,,,,,,False,,False,True,,u'average',,False,,,False,,,,u'none',u'no',,,,False,,,False,u'casual',,False,False,False,,,,,,False,False,,,,,False,,False,False,2,,,False,,False,False,False,,False,,,True,False,,,,,,,,False,13222,3.25
